Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
33,C706296,RT0805CRE071K5L,YAGEO,0805,,125mW 1.5kΩ 150V Thin Film Resistor ±50ppm/℃ ±0.25% 0805 Chip Resistor - Surface Mount RoHS,yes,10,10,10,0.0408,0.41,https://www.lcsc.com/product-detail/C706296.html
34,C5266073,AR05CTC1001,Viking,0805,,1kΩ ±0.25% 100mW 0805 Thin Film Resistor,yes,10,10,10,0.0362,0.36,https://www.lcsc.com/product-detail/C5266073.html
35,C5266075,AR05CTC1003,Viking,0805,,100kΩ ±0.25% 100mW 0805 Thin Film Resistor,yes,10,10,10,0.0362,0.36,https://www.lcsc.com/product-detail/C5266075.html
36,C5266081,AR05CTC4702,Viking,0805,,47kΩ ±0.25% 100mW 0805 Thin Film Resistor,yes,10,10,10,0.0341,0.34,https://www.lcsc.com/product-detail/C5266081.html
37,C19269964,TE05H2201DT,FH,0805,,125mW 2.2kΩ Thin Film Resistor ±0.5% ±50ppm/℃ 0805 Chip Resistor - Surface Mount RoHS,yes,50,50,50,0.0060,0.30,https://www.lcsc.com/product-detail/C19269964.html
38,C2828783,ARG05DTC5001,Viking,0805,,5kΩ ±0.5% 125mW 0805 Thin Film Resistor,yes,50,50,50,0.0107,0.54,https://www.lcsc.com/product-detail/C2828783.html
39,C2828844,ARG05DTC1103,Viking,0805,,110kΩ ±0.5% 125mW 0805 Thin Film Resistor,yes,50,50,50,0.0120,0.60,https://www.lcsc.com/product-detail/C2828844.html
40,C517456,TC0525D2001T5J,UNI-ROYAL,0805,,2kΩ ±0.5% 250mW 0805 Thin Film Resistor,yes,5,1,1,0.0290,0.15,https://www.lcsc.com/product-detail/C517456.html
41,C49325700,TFCR0805-8W-E-5621DT-1K,Venkel,0805,,5.62kΩ 125mW Thin Film Resistor ±0.5% ±25ppm/℃ 0805 Chip Resistor - Surface Mount RoHS,yes,20,20,20,0.0302,0.60,https://www.lcsc.com/product-detail/C49325700.html
42,C2689483,ARG05DTC3902,Viking,0805,,39kΩ ±0.5% 125mW 0805 Thin Film Resistor,yes,50,50,50,0.0100,0.50,https://www.lcsc.com/product-detail/C2689483.html
43,C2828829,ARG05DTC7502,Viking,0805,,75kΩ ±0.5% 125mW 0805 Thin Film Resistor,yes,50,50,50,0.0111,0.56,https://www.lcsc.com/product-detail/C2828829.html
44,C2828843,ARG05DTC2200,Viking,0805,,220Ω ±0.5% 125mW 0805 Thin Film Resistor,yes,50,50,50,0.0097,0.49,https://www.lcsc.com/product-detail/C2828843.html
